商品,订单号,订单状态,商品总价(元),店铺优惠折扣(元),平台优惠折扣(元),用户实付金额(元),商家实收金额(元),商品数量(件),发货时间,确认收货时间,商品id,商品规格,样式ID,商家备注,售后状态,快递单号,快递公司,订单成交时间,是否分期,分期期数,手续费承担方,手续费率
宽松胖子加肥加大码男装韩版港风潮流百搭学生t恤男肥佬装透气t恤,210412-392790017250647,待发货,38.8	,0.0	,0.0	,38.8	,38.8	,1	,	,	,233083055095	,"WK043白+WK043浅灰,7XL 建议270-310斤",827682471293	,	,无售后或售后取消,	,	,2021-04-12 00:11:57,否,	,	,	
夏季加肥加大码男装国潮新款时尚印花潮流学生上衣五分袖透气t恤,210412-012902728893699,待发货,38.8	,0.0	,0.0	,38.8	,38.8	,1	,	,	,219896665455	,"字母W黑+时来运转黑,10XL 建议320-350斤",795750293520	,	,无售后或售后取消,	,	,2021-04-12 00:09:51,否,	,	,	
2021新款胖子夏季男装大码打底衫国潮嘻哈中国风五分袖上衣男印花,210412-477227910080235,待发货,38.8	,0.0	,0.0	,38.8	,38.8	,1	,	,	,221069532188	,"G23黑+G28黑,8XL 建议310-350斤",798236015624	,	,无售后或售后取消,	,	,2021-04-12 00:08:46,否,	,	,	
2021年新款卫裤男加肥加大码潮牌反光宽松束脚裤男学生宽松运动裤,210412-387767338160135,待发货,58.9	,0.0	,0.0	,58.9	,58.9	,1	,	,	,220536989085	,"J60灰+S011灰,4XL 建议180-210斤",797119532823	,	,无售后或售后取消,	,	,2021-04-12 00:08:30,否,	,	,	
加肥加大码男装连帽卫衣秋冬季韩版潮流学生ins港风宽松胖子卫衣,210412-365336986721939,待发货,32.9	,0.0	,0.0	,32.9	,32.9	,1	,	,	,180326142335	,"【单件】Y641天蓝色,6XL",694652665383	,	,无售后或售后取消,	,	,2021-04-12 00:01:33,否,	,	,	
2021新款胖子夏季男装大码打底衫国潮嘻哈中国风五分袖上衣男印花,210412-372485653490573,待发货,26.8	,0.0	,0.0	,26.8	,26.8	,1	,	,	,221069532188	,"G23白,4XL 建议180-210斤",798235364583	,	,无售后或售后取消,	,	,2021-04-12 00:00:23,否,	,	,	
2021年新款卫裤男加肥加大码潮牌反光宽松束脚裤男学生宽松运动裤,210411-506080789650527,待发货,35.9	,0.0	,0.0	,35.9	,35.9	,1	,	,	,220536989085	,"S011黑,2XL 建议130-150斤",797118218275	,	,无售后或售后取消,	,	,2021-04-11 23:58:45,否,	,	,	
加肥加大码男装短袖夏季新款胖子t恤国潮潮流宽松嘻哈风上衣学生,210411-522814751822903,待发货,38.8	,0.0	,0.0	,38.8	,38.8	,1	,	,	,220841637576	,"G34黑+G23黑,8XL 建议310-350斤",797756475678	,	,无售后或售后取消,	,	,2021-04-11 23:57:55,否,	,	,	
2021新款胖子夏季男装大码打底衫国潮嘻哈中国风五分袖上衣男印花,210411-367234909261264,待发货,38.8	,0.0	,1.0	,37.8	,38.8	,1	,	,	,221069532188	,"G23白+G28白,5XL 建议210-240斤",798235364640	,	,无售后或售后取消,	,	,2021-04-11 23:56:50,否,	,	,	
2021新款胖子夏季男装大码打底衫国潮嘻哈中国风五分袖上衣男印花,210411-269008241671069,待发货,38.8	,0.0	,0.0	,38.8	,38.8	,1	,	,	,221069532188	,"G28黑+G30白,4XL 建议180-210斤",798235364727	,	,无售后或售后取消,	,	,2021-04-11 23:53:11,否,	,	,	
2021新款夏季学生短袖潮流百搭t恤男港风韩版加肥加大码肥佬装潮,210411-513610876143568,待发货,38.8	,0.0	,0.0	,38.8	,38.8	,1	,	,	,231305694451	,"SS60黑+SS84黑,5XL 建议210-240斤",823399308379	,	,无售后或售后取消,	,	,2021-04-11 23:51:39,否,	,	,	
