商品,订单号,订单状态,商品总价(元),店铺优惠折扣(元),平台优惠折扣(元),用户实付金额(元),商家实收金额(元),商品数量(件),发货时间,确认收货时间,商品id,商品规格,样式ID,商家备注,售后状态,快递单号,快递公司,订单成交时间,是否分期,分期期数,手续费承担方,手续费率
加肥加大码男装连帽卫衣秋冬季韩版潮流学生ins港风宽松胖子卫衣,210411-485180048542398,待发货,53.9	,0.0	,0.0	,53.9	,53.9	,1	,	,	,180326142335	,"【两件装】644黑色+641天蓝色,6XL",694652665413	,	,无售后或售后取消,	,	,2021-04-11 19:40:57,否,	,	,	
2021年新款卫裤男加肥加大码潮牌反光宽松束脚裤男学生宽松运动裤,210411-197598905452918,待发货,35.9	,0.0	,0.0	,35.9	,35.9	,1	,	,	,220536989085	,"S011黑,4XL 建议180-210斤",797118218277	,	,无售后或售后取消,	,	,2021-04-11 19:40:29,否,	,	,	
港风ins潮牌T恤男短袖夏季新款韩版宽松大码情侣装打底衫半袖上衣,210411-220300575991382,待发货,38.9	,0.0	,0.0	,38.9	,38.9	,1	,	,	,220370318611	,"【两件装】S39天蓝色+T82深灰色,10XL",796830577882	,	,无售后或售后取消,	,	,2021-04-11 19:39:09,否,	,	,	
加肥加大码男装短袖夏季新款胖子t恤国潮潮流宽松嘻哈风上衣学生,210411-404549796912552,待发货,38.8	,0.0	,0.0	,38.8	,38.8	,1	,	,	,220841637576	,"G34黑+G23黑,8XL 建议310-350斤",797756475678	,	,无售后或售后取消,	,	,2021-04-11 19:42:42,否,	,	,	
2021新款夏季港风上衣t恤男潮流韩版百搭加肥加大码短袖男学生t恤,210411-464049931232227,待发货,38.8	,0.0	,0.0	,38.8	,38.8	,1	,	,	,220727859459	,"T81黑+T88黑,8XL 建议310-350斤",797511916604	,	,无售后或售后取消,	,	,2021-04-11 19:37:14,否,	,	,	
国潮嘻哈中国风短袖t恤男夏季新款加肥加大码胖子宽松透气舒适t恤,210411-552380662903250,待发货,38.8	,0.0	,0.0	,38.8	,38.8	,1	,	,	,220841619309	,"G20黑+G25白,4XL 建议180-210斤",797743330894	,	,无售后或售后取消,	,	,2021-04-11 19:35:43,否,	,	,	
加肥加大码胖子男装夏季新款潮胖子圆领学生短袖宽松t恤情侣半袖,210411-172152587402122,待发货,38.8	,0.0	,0.0	,38.8	,38.8	,1	,	,	,220841614732	,"G24黑+G28白,6XL 建议240-270斤",797752827856	,	,无售后或售后取消,	,	,2021-04-11 19:34:15,否,	,	,	
国潮嘻哈中国风短袖t恤男夏季新款加肥加大码胖子宽松透气舒适t恤,210411-565303051393231,待发货,26.8	,0.0	,0.0	,26.8	,26.8	,1	,	,	,220841619309	,"G20黑,8XL 建议310-350斤",797743330818	,	,无售后或售后取消,	,	,2021-04-11 19:32:44,否,	,	,	
2021新款胖子夏季男装大码打底衫国潮嘻哈中国风五分袖上衣男印花,210411-077586760953038,待发货,38.8	,0.0	,0.0	,38.8	,38.8	,1	,	,	,221069532188	,"G23黑+G28白,5XL 建议210-240斤",798235364672	,	,无售后或售后取消,	,	,2021-04-11 19:32:21,否,	,	,	
2021新款胖子夏季男装大码打底衫国潮嘻哈中国风五分袖上衣男印花,210411-025918178271984,待发货,38.8	,0.0	,0.0	,38.8	,38.8	,1	,	,	,221069532188	,"G23黑+G28黑,XL 建议115-130斤",798235364676	,	,无售后或售后取消,	,	,2021-04-11 19:31:48,否,	,	,	
夏季短袖T恤男卡通印花潮牌宽松大码半袖体恤韩版加肥加大短袖男,210411-089088328703531,待发货,23.9	,0.0	,0.0	,23.9	,23.9	,1	,	,	,150374761515	,"【单件】宗介白色,XL",624947883276	,	,无售后或售后取消,	,	,2021-04-11 19:26:25,否,	,	,	
2021新款日系阔腿裤男士大码束脚裤透气舒适学生加肥加大码运动裤,210411-542855660640955,待发货,58.9	,0.0	,0.0	,58.9	,58.9	,1	,	,	,221854380009	,"S010灰+S011反光灰,XL 建议115-130斤",800112990151	,	,无售后或售后取消,	,	,2021-04-11 19:26:18,否,	,	,	
秋冬季新款韩版潮流ins假两件加肥加大长袖t恤男胖子宽松大码上衣,210411-252246754303949,待发货,39.9	,0.0	,0.0	,39.9	,39.9	,1	,	,	,164373803775	,"【两件装】熊头深灰色+芝麻街白色,6XL",657688365351	,	,无售后或售后取消,	,	,2021-04-11 19:24:07,否,	,	,	
加肥加大码男装连帽卫衣秋冬季韩版潮流学生ins港风宽松胖子卫衣,210411-474346947650808,待发货,32.9	,0.0	,0.0	,32.9	,32.9	,1	,	,	,180326142335	,"【单件】Y641浅灰色,7XL",694652665374	,	,无售后或售后取消,	,	,2021-04-11 19:24:03,否,	,	,	
加肥加大码印花束脚裤子2021新款男士潮流百搭休闲运动卫裤男学生,210411-305203774611911,待发货,58.9	,0.0	,0.0	,58.9	,58.9	,1	,	,	,223754188114	,"B68黑+G20黑,L 建议100-115斤",804756794674	,	,无售后或售后取消,	,	,2021-04-11 19:19:35,否,	,	,	
2021新款日系阔腿裤男士大码束脚裤透气舒适学生加肥加大码运动裤,210411-139894457543464,待发货,58.9	,0.0	,0.0	,58.9	,58.9	,1	,	,	,221854380009	,"S010黑+S011反光灰,4XL 建议180-210斤",800112990194	,	,无售后或售后取消,	,	,2021-04-11 19:10:02,否,	,	,	
加肥加大码胖子男装夏季新款潮胖子圆领学生短袖宽松t恤情侣半袖,210411-164899063013523,待发货,38.8	,0.0	,0.0	,38.8	,38.8	,1	,	,	,220841614732	,"G24黑+G34黑,6XL 建议240-270斤",797752827836	,	,无售后或售后取消,	,	,2021-04-11 19:05:27,否,	,	,	
加肥加大码胖子男装夏季新款潮胖子圆领学生短袖宽松t恤情侣半袖,210411-028654961672689,待发货,38.8	,0.0	,0.0	,38.8	,38.8	,1	,	,	,220841614732	,"G24白+G28白,L 建议100-115斤",797752827880	,	,无售后或售后取消,	,	,2021-04-11 19:05:21,否,	,	,	
2021新款日系阔腿裤男士大码束脚裤透气舒适学生加肥加大码运动裤,210411-651152590030970,待发货,35.9	,0.0	,0.0	,35.9	,35.9	,1	,	,	,221854380009	,"S011反光灰,8XL 建议310-350斤",800112990108	,	,无售后或售后取消,	,	,2021-04-11 19:07:33,否,	,	,	
中国风男装夏季胖子t恤男宽松大码半袖潮流嘻哈国潮加肥加大短袖,210411-014615839780850,待发货,23.9	,0.0	,0.0	,23.9	,23.9	,1	,	,	,161579813356	,"熊猫黑色,6XL",651250517501	,	,无售后或售后取消,	,	,2021-04-11 19:00:25,否,	,	,	
加肥加大码胖子男装夏季新款潮胖子国潮学生短袖宽松t恤情侣半袖,210411-086953165800505,待发货,38.8	,0.0	,0.0	,38.8	,38.8	,1	,	,	,220841612936	,"G28黑+G23黑,8XL 建议310-350斤",797753899044	,	,无售后或售后取消,	,	,2021-04-11 18:59:46,否,	,	,	
秋冬季新款韩版潮流ins假两件加肥加大长袖t恤男胖子宽松大码上衣,210411-144940729391918,待发货,25.9	,0.0	,0.0	,25.9	,25.9	,1	,	,	,164373803775	,"【单件】熊头深灰色,2XL",657688365277	,	,无售后或售后取消,	,	,2021-04-11 18:57:23,否,	,	,	
秋冬季新款韩版潮流ins假两件加肥加大长袖t恤男胖子宽松大码上衣,210411-323274671243783,待发货,25.9	,0.0	,0.0	,25.9	,25.9	,1	,	,	,164373803775	,"【单件】路飞深灰色,2XL",657688365257	,	,无售后或售后取消,	,	,2021-04-11 18:56:42,否,	,	,	
2021新款胖子夏季男装大码打底衫国潮嘻哈中国风五分袖上衣男印花,210411-683248190520957,待发货,38.8	,0.0	,3.0	,35.8	,38.8	,1	,	,	,221069532188	,"G28黑+G30黑,8XL 建议310-350斤",798236015638	,	,无售后或售后取消,	,	,2021-04-11 18:56:46,否,	,	,	
2021新款胖子夏季男装大码打底衫国潮嘻哈中国风五分袖上衣男印花,210411-376517428200572,待发货,38.8	,0.0	,0.0	,38.8	,38.8	,1	,	,	,221069532188	,"G23白+G28白,7XL 建议270-310斤",798236015613	,	,无售后或售后取消,	,	,2021-04-11 18:53:45,否,	,	,	
T恤男士短袖港风潮牌宽松大码打底衫潮流韩版夏季新款情侣装半袖,210411-018741986422332,待发货,36.9	,0.0	,0.0	,36.9	,36.9	,1	,	,	,220441610433	,"【两件装】猫深灰色+320白色,7XL",796942285639	,	,无售后或售后取消,	,	,2021-04-11 18:52:20,否,	,	,	
加肥加大码胖子男装夏季新款潮胖子圆领学生短袖宽松t恤情侣半袖,210411-276556678180280,待发货,38.8	,0.0	,0.0	,38.8	,38.8	,1	,	,	,220841614732	,"G24白+G28黑,8XL 建议310-350斤",797752827878	,	,无售后或售后取消,	,	,2021-04-11 18:35:47,否,	,	,	
夏季短袖T恤男卡通印花潮牌宽松大码半袖体恤韩版加肥加大短袖男,210411-059265516721051,待发货,35.9	,0.0	,0.0	,35.9	,35.9	,1	,	,	,150374761515	,"【两件装】宗介蓝色+火宗介黑色,XL",624950754307	,	,无售后或售后取消,	,	,2021-04-11 18:34:31,否,	,	,	
秋冬季肥佬牛仔裤男宽松加肥加大码嘻哈潮牌男生裤子胖子休闲束脚,210411-638101750993898,待发货,45.9	,0.0	,0.0	,45.9	,45.9	,1	,	,	,201561183820	,"90黑色,3XL",750272367020	,	,无售后或售后取消,	,	,2021-04-11 18:32:52,否,	,	,	
夏季短袖T恤男卡通印花潮牌宽松大码半袖体恤韩版加肥加大短袖男,210411-165334222040482,待发货,35.9	,0.0	,0.0	,35.9	,35.9	,1	,	,	,150374761515	,"【两件装】宗介蓝色+百事白色,5XL",624950754291	,	,无售后或售后取消,	,	,2021-04-11 18:32:33,否,	,	,	
夏季男装2020新款潮ins宽松胖子t恤男潮流韩版加肥加大码短袖男,210411-450170717303014,待发货,35.0	,0.0	,0.0	,35.0	,35.0	,1	,	,	,150132871556	,"【两件装】闪电兽蓝色+笑脸蓝色,2XL",624416989320	,	,无售后或售后取消,	,	,2021-04-11 18:30:09,否,	,	,	
2021年新款卫裤男加肥加大码潮牌反光宽松束脚裤男学生宽松运动裤,210411-622340342862631,待发货,35.9	,0.0	,0.0	,35.9	,35.9	,1	,	,	,220536989085	,"S011黑,2XL 建议130-150斤",797118218275	,	,无售后或售后取消,	,	,2021-04-11 18:28:16,否,	,	,	
2021新款春夏透气学生运动休闲裤男加肥加大码直筒裤休闲胖子男裤,210411-684775179390793,待发货,58.9	,0.0	,0.0	,58.9	,58.9	,1	,	,	,220670834990	,"J25七彩黑+J29七彩黑,8XL 建议310-350斤",797377760625	,	,无售后或售后取消,	,	,2021-04-11 18:28:29,否,	,	,	
加肥加大码胖子男装夏季新款潮胖子圆领学生短袖宽松t恤情侣半袖,210411-522981213310793,待发货,38.8	,0.0	,0.0	,38.8	,38.8	,1	,	,	,220841614732	,"G24黑+G24白,8XL 建议310-350斤",797752827828	,	,无售后或售后取消,	,	,2021-04-11 18:23:53,否,	,	,	
2021新款胖子夏季男装大码打底衫国潮嘻哈中国风五分袖上衣男印花,210411-584636171390493,待发货,38.8	,0.0	,0.0	,38.8	,38.8	,1	,	,	,221069532188	,"G23黑+G28白,5XL 建议210-240斤",798235364672	,	,无售后或售后取消,	,	,2021-04-11 18:19:37,否,	,	,	
2021新款日系阔腿裤男士大码束脚裤透气舒适学生加肥加大码运动裤,210411-098115257341166,待发货,35.9	,0.0	,2.0	,33.9	,35.9	,1	,	,	,221854380009	,"S011反光灰,XL 建议115-130斤",800112990101	,	,无售后或售后取消,	,	,2021-04-11 18:17:26,否,	,	,	
夏季短袖T恤男卡通印花潮牌宽松大码半袖体恤韩版加肥加大短袖男,210411-207977186312970,待发货,23.9	,0.0	,0.0	,23.9	,23.9	,1	,	,	,150374761515	,"【单件】宗介黑色,4XL",624947883269	,	,无售后或售后取消,	,	,2021-04-11 18:13:07,否,	,	,	
夏季短袖T恤男卡通印花潮牌宽松大码半袖体恤韩版加肥加大短袖男,210411-544327599290835,待发货,35.9	,0.0	,0.0	,50.9	,50.9	,1	,	,	,150374761515	,"【两件装】百事蓝色+火影眼睛白色,2XL",624950754298	,	,无售后或售后取消,	,	,2021-04-11 18:13:01,否,	,	,	
夏季加肥加大码男装国潮新款时尚印花潮流学生上衣五分袖透气t恤,210411-657489920963165,待发货,38.8	,0.0	,0.0	,38.8	,38.8	,1	,	,	,219896665455	,"火焰熊黑+时来运转黑,5XL 建议200-230斤",795750293599	,	,无售后或售后取消,	,	,2021-04-11 18:11:57,否,	,	,	
2021新款胖子夏季男装大码打底衫国潮嘻哈中国风五分袖上衣男印花,210411-676824351803885,待发货,38.8	,0.0	,0.0	,38.8	,38.8	,1	,	,	,221069532188	,"G28黑+G30黑,6XL 建议240-270斤",798235364737	,	,无售后或售后取消,	,	,2021-04-11 18:11:22,否,	,	,	
2021新款胖子夏季男装大码打底衫国潮嘻哈中国风五分袖上衣男印花,210411-506080789470136,待发货,38.8	,0.0	,0.0	,38.8	,38.8	,1	,	,	,221069532188	,"G23黑+G28白,6XL 建议240-270斤",798235364673	,	,无售后或售后取消,	,	,2021-04-11 18:10:53,否,	,	,	
夏季加肥加大码男装国潮新款时尚印花潮流学生上衣五分袖透气t恤,210411-021143225380281,待发货,38.8	,0.0	,0.0	,38.8	,38.8	,1	,	,	,219896665455	,"字母W黑+火焰熊黑,7XL 建议250-270斤",795750293493	,	,无售后或售后取消,	,	,2021-04-11 18:09:12,否,	,	,	
2021年新款卫裤男加肥加大码潮牌反光宽松束脚裤男学生宽松运动裤,210411-179938264240653,待发货,58.9	,0.0	,0.0	,58.9	,58.9	,1	,	,	,220536989085	,"J60灰+S011黑,3XL 建议150-180斤",797119532812	,	,无售后或售后取消,	,	,2021-04-11 18:00:41,否,	,	,	
2021年新款卫裤男加肥加大码潮牌反光宽松束脚裤男学生宽松运动裤,210411-384725157022862,待发货,58.9	,0.0	,3.0	,55.9	,58.9	,1	,	,	,220536989085	,"SO11灰+J06黑,M 建议75-100斤",797120162508	,	,无售后或售后取消,	,	,2021-04-11 17:59:57,否,	,	,	
夏季加肥加大码男装国潮新款时尚印花潮流学生上衣五分袖透气t恤,210411-267082793960468,待发货,38.8	,0.0	,0.0	,38.8	,38.8	,1	,	,	,219896665455	,"字母W白+时来运转白,10XL 建议320-350斤",795750293580	,	,无售后或售后取消,	,	,2021-04-11 17:59:44,否,	,	,	
2021新款胖子夏季男装大码打底衫国潮嘻哈中国风五分袖上衣男印花,210411-287617844443125,待发货,38.8	,0.0	,0.0	,38.8	,38.8	,1	,	,	,221069532188	,"G23黑+G28白,6XL 建议240-270斤",798235364673	,	,无售后或售后取消,	,	,2021-04-11 17:57:35,否,	,	,	
2021新款胖子夏季男装大码打底衫国潮嘻哈中国风五分袖上衣男印花,210411-269562676441504,待发货,38.8	,0.0	,0.0	,38.8	,38.8	,1	,	,	,221069532188	,"G23黑+G28黑,6XL 建议240-270斤",798235364681	,	,无售后或售后取消,	,	,2021-04-11 17:57:30,否,	,	,	
加肥加大码胖子男装夏季新款潮胖子圆领学生短袖宽松t恤情侣半袖,210411-363879466011065,待发货,38.8	,0.0	,0.0	,38.8	,38.8	,1	,	,	,220841614732	,"G24白+G28白,7XL 建议270-310斤",797752827887	,	,无售后或售后取消,	,	,2021-04-11 17:55:26,否,	,	,	
秋冬款加绒中国风嘻哈学生卫衣宽松潮牌胖子加肥加大码连帽卫衣男,210411-296473068703275,待发货,55.9	,0.0	,0.0	,55.9	,55.9	,1	,	,	,206918349714	,"火焰熊黑+旗开得胜黑,XL 建议115-130斤",764246198961	,	,无售后或售后取消,	,	,2021-04-11 17:53:47,否,	,	,	
加肥加大码胖子男装夏季新款潮胖子圆领学生短袖宽松t恤情侣半袖,210411-321802732780335,待发货,26.8	,0.0	,0.0	,26.8	,26.8	,1	,	,	,220841614732	,"G24白,4XL 建议180-210斤",797752827784	,	,无售后或售后取消,	,	,2021-04-11 17:51:35,否,	,	,	
2021新款日系阔腿裤男士大码束脚裤透气舒适学生加肥加大码运动裤,210411-031585731822087,待发货,35.9	,0.0	,0.0	,35.9	,35.9	,1	,	,	,221854380009	,"S011反光灰,4XL 建议180-210斤",800112990104	,	,无售后或售后取消,	,	,2021-04-11 17:52:21,否,	,	,	
2021新款胖子夏季男装大码打底衫国潮嘻哈中国风五分袖上衣男印花,210411-589905265882464,待发货,38.8	,0.0	,0.0	,38.8	,38.8	,1	,	,	,221069532188	,"G23黑+G28黑,5XL 建议210-240斤",798235364680	,	,无售后或售后取消,	,	,2021-04-11 17:50:15,否,	,	,	
2021新款胖子夏季男装大码打底衫国潮嘻哈中国风五分袖上衣男印花,210411-436979631271230,待发货,38.8	,0.0	,0.0	,38.8	,38.8	,1	,	,	,221069532188	,"G28黑+G30黑,5XL 建议210-240斤",798235364736	,	,无售后或售后取消,	,	,2021-04-11 17:49:37,否,	,	,	
2021新款日系阔腿裤男士大码束脚裤透气舒适学生加肥加大码运动裤,210411-258880308402896,待发货,58.9	,0.0	,0.0	,58.9	,58.9	,1	,	,	,221854380009	,"S011反光黑+后背彩虹灰,XL 建议115-130斤",800112990261	,	,无售后或售后取消,	,	,2021-04-11 17:46:06,否,	,	,	
2021新款胖子夏季男装大码打底衫国潮嘻哈中国风五分袖上衣男印花,210411-224684934263321,待发货,38.8	,0.0	,3.13	,35.67	,38.8	,1	,	,	,221069532188	,"G28白+G28黑,4XL 建议180-210斤",798235364703	,	,无售后或售后取消,	,	,2021-04-11 17:43:00,否,	,	,	
【买一送一】夏季港风宽松大码胖子t恤男潮流韩版加肥加大短袖男,210411-652176262370777,待发货,22.14	,0.0	,0.0	,22.14	,22.14	,1	,	,	,116078980576	,"【两件装】自由搭配，联系客服,XL",539923822630	,发史迪仔黑和海贼黑色,无售后或售后取消,	,	,2021-04-11 17:31:33,否,	,	,	
加肥加大码男装短袖夏季新款胖子t恤国潮潮流宽松嘻哈风上衣学生,210411-167895368801674,待发货,38.8	,0.0	,0.0	,38.8	,38.8	,1	,	,	,220841637576	,"G23黑+G26黑,3XL 建议150-180斤",797756287145	,	,无售后或售后取消,	,	,2021-04-11 17:30:53,否,	,	,	
加肥加大码胖子男装夏季新款潮胖子圆领学生短袖宽松t恤情侣半袖,210411-114433721390265,待发货,38.8	,0.0	,0.0	,38.8	,38.8	,1	,	,	,220841614732	,"G24黑+G28黑,5XL 建议210-240斤",797752827845	,	,无售后或售后取消,	,	,2021-04-11 17:30:15,否,	,	,	
夏季短袖T恤男卡通印花潮牌宽松大码半袖体恤韩版加肥加大短袖男,210411-086403974291049,待发货,35.9	,0.0	,0.0	,35.9	,35.9	,1	,	,	,150374761515	,"【两件装】百事蓝色+火影眼睛白色,4XL",624950754300	,	,无售后或售后取消,	,	,2021-04-11 17:26:47,否,	,	,	
夏季加肥加大码男装国潮新款时尚印花潮流学生上衣五分袖透气t恤,210411-146951373832270,待发货,38.8	,0.0	,0.0	,38.8	,38.8	,1	,	,	,219896665455	,"字母W黑+火焰熊白,5XL 建议200-230斤",795750293503	,	,无售后或售后取消,	,	,2021-04-11 17:26:44,否,	,	,	
夏季短袖T恤男卡通印花潮牌宽松大码半袖体恤韩版加肥加大短袖男,210411-284696249510758,待发货,23.9	,0.0	,0.0	,23.9	,23.9	,1	,	,	,150374761515	,"【单件】宗介黑色,S",624947883263	,	,无售后或售后取消,	,	,2021-04-11 19:16:50,否,	,	,	
2021新款宽松胖子加肥加大码夏季肥佬装男港风韩版潮流百搭t恤潮,210411-082955469971401,待发货,38.8	,0.0	,0.0	,38.8	,38.8	,1	,	,	,227118498585	,"T58白+T188黑,6XL 建议240-270斤",813119716119	,	,无售后或售后取消,	,	,2021-04-11 17:12:10,否,	,	,	
2021新款胖子夏季男装大码打底衫国潮嘻哈中国风五分袖上衣男印花,210411-258850161853406,待发货,38.8	,0.0	,0.0	,38.8	,38.8	,1	,	,	,221069532188	,"G23黑+G28白,7XL 建议270-310斤",798236015621	,	,无售后或售后取消,	,	,2021-04-11 17:07:50,否,	,	,	
夏季加肥加大码男装国潮新款时尚印花潮流学生上衣五分袖透气t恤,210411-629897954372143,待发货,38.8	,0.0	,0.0	,38.8	,38.8	,1	,	,	,219896665455	,"时来运转黑+时来运转白,10XL 建议320-350斤",795750293652	,	,无售后或售后取消,	,	,2021-04-11 17:07:39,否,	,	,	
秋冬季新款韩版潮流ins假两件加肥加大长袖t恤男胖子宽松大码上衣,210411-058625885192987,待发货,25.9	,0.0	,0.0	,25.9	,25.9	,1	,	,	,164373803775	,"【单件】芝麻街黑色,XL",657688365296	,	,无售后或售后取消,	,	,2021-04-11 17:23:03,否,	,	,	
2021新款春夏透气学生运动休闲裤男加肥加大码直筒裤休闲胖子男裤,210411-141175030823499,待发货,35.9	,0.0	,0.0	,35.9	,35.9	,1	,	,	,220670834990	,"J25七彩灰,M 建议75-100斤",797377760496	,	,无售后或售后取消,	,	,2021-04-11 17:06:22,否,	,	,	
2021新款春夏透气学生运动休闲裤男加肥加大码直筒裤休闲胖子男裤,210411-260745462911229,待发货,35.9	,0.0	,0.0	,35.9	,35.9	,1	,	,	,220670834990	,"J25七彩黑,6XL 建议240-270斤",797377760513	,	,无售后或售后取消,	,	,2021-04-11 16:57:40,否,	,	,	
夏季短袖T恤男卡通印花潮牌宽松大码半袖体恤韩版加肥加大短袖男,210411-234759128072461,待发货,23.9	,0.0	,0.0	,23.9	,23.9	,1	,	,	,150374761515	,"【单件】百事蓝色,XL",624947883306	,	,无售后或售后取消,	,	,2021-04-11 16:55:14,否,	,	,	
夏季加肥加大码男装国潮新款时尚印花潮流学生上衣五分袖透气t恤,210411-589038879840387,待发货,38.8	,0.0	,0.0	,38.8	,38.8	,1	,	,	,219896665455	,"火焰熊黑+时来运转黑,8XL 建议270-290斤",795750293602	,	,无售后或售后取消,	,	,2021-04-11 16:48:51,否,	,	,	
2021新款胖子夏季男装大码打底衫国潮嘻哈中国风五分袖上衣男印花,210411-499511461071117,待发货,26.8	,0.0	,0.0	,26.8	,26.8	,1	,	,	,221069532188	,"G28白,6XL 建议240-270斤",798235364601	,	,无售后或售后取消,	,	,2021-04-11 16:32:45,否,	,	,	
夏季短袖T恤男卡通印花潮牌宽松大码半袖体恤韩版加肥加大短袖男,210411-543404852182021,待发货,35.9	,0.0	,0.0	,35.9	,35.9	,1	,	,	,150374761515	,"【两件装】宗介蓝色+火影眼睛黑色,7XL",624949376143	,	,无售后或售后取消,	,	,2021-04-11 16:32:31,否,	,	,	
2021年新款卫裤男加肥加大码潮牌反光宽松束脚裤男学生宽松运动裤,210411-623619605600371,待发货,35.9	,0.0	,0.0	,35.9	,35.9	,1	,	,	,220536989085	,"S011黑,5XL 建议210-240斤",797118218278	,	,无售后或售后取消,	,	,2021-04-11 16:31:35,否,	,	,	
2021新款春夏透气学生运动休闲裤男加肥加大码直筒裤休闲胖子男裤,210411-085465498581874,待发货,35.9	,0.0	,0.0	,35.9	,35.9	,1	,	,	,220670834990	,"J29七彩黑,5XL 建议210-240斤",797377760532	,	,无售后或售后取消,	,	,2021-04-11 16:30:18,否,	,	,	
加肥加大码男装秋冬港风学生宽松胖子套头上衣男韩版潮流圆领卫衣,210411-311006331870518,待发货,53.9	,0.0	,0.0	,53.9	,53.9	,1	,	,	,184297414934	,"【两件装】W39天蓝色+W40黑色,7XL",704695021308	,	,无售后或售后取消,	,	,2021-04-11 16:28:09,否,	,	,	
2021新款胖子夏季男装大码打底衫国潮嘻哈中国风五分袖上衣男印花,210411-272806708361195,待发货,38.8	,0.0	,0.0	,38.8	,38.8	,1	,	,	,221069532188	,"G28白+G28黑,XL 建议115-130斤",798235364700	,	,无售后或售后取消,	,	,2021-04-11 16:27:21,否,	,	,	
2021新款春夏透气学生运动休闲裤男加肥加大码直筒裤休闲胖子男裤,210411-060221031593292,待发货,58.9	,0.0	,0.0	,58.9	,58.9	,1	,	,	,220670834990	,"J29七彩灰+J30反光灰,M 建议75-100斤",797377760656	,	,无售后或售后取消,	,	,2021-04-11 16:24:50,否,	,	,	
夏季加肥加大码男装国潮新款时尚印花潮流学生上衣五分袖透气t恤,210411-097003766983061,待发货,38.8	,0.0	,0.0	,38.8	,38.8	,1	,	,	,219896665455	,"火焰熊黑+火焰熊白,4XL 建议170-200斤",795750293586	,	,无售后或售后取消,	,	,2021-04-11 16:23:08,否,	,	,	
2021新款春夏透气学生运动休闲裤男加肥加大码直筒裤休闲胖子男裤,210411-436059505623507,待发货,35.9	,0.0	,0.0	,35.9	,35.9	,1	,	,	,220670834990	,"J29七彩灰,4XL 建议180-210斤",797377760521	,	,无售后或售后取消,	,	,2021-04-11 16:19:07,否,	,	,	
国潮嘻哈中国风短袖t恤男夏季新款加肥加大码胖子宽松透气舒适t恤,210411-617194456140510,待发货,38.8	,0.0	,0.0	,38.8	,38.8	,1	,	,	,220841619309	,"G20黑+G25白,6XL 建议240-270斤",797743330896	,	,无售后或售后取消,	,	,2021-04-11 16:17:51,否,	,	,	
夏季加肥加大码男装国潮新款时尚印花潮流学生上衣五分袖透气t恤,210411-349415670841506,待发货,30.0	,0.0	,0.0	,45.0	,45.0	,1	,	,	,219896665455	,"火焰熊黑,5XL 建议200-230斤",795750293431	,	,无售后或售后取消,	,	,2021-04-11 16:17:09,否,	,	,	
加肥加大码胖子男装夏季新款潮胖子圆领学生短袖宽松t恤情侣半袖,210411-395129652182261,待发货,38.8	,0.0	,0.0	,38.8	,38.8	,1	,	,	,220841614732	,"G24黑+G28白,6XL 建议240-270斤",797752827856	,	,无售后或售后取消,	,	,2021-04-11 16:16:38,否,	,	,	
2021新款胖子夏季男装大码打底衫国潮嘻哈中国风五分袖上衣男印花,210411-556523848750880,待发货,27.8	,0.0	,0.0	,27.8	,27.8	,1	,	,	,221069532188	,"G28白,6XL 建议240-270斤",798235364601	,	,无售后或售后取消,	,	,2021-04-11 16:13:55,否,	,	,	
加肥加大码国潮百搭T恤五分袖短袖男大码男装宽松胖子学生潮t恤男,210411-604812084422048,待发货,38.8	,0.0	,0.0	,38.8	,38.8	,1	,	,	,220841582441	,"G19黑+G21白,6XL 建议240-270斤",797733105929	,	,无售后或售后取消,	,	,2021-04-11 16:13:52,否,	,	,	
2021年新款卫裤男加肥加大码潮牌反光宽松束脚裤男学生宽松运动裤,210411-169545565241929,待发货,58.9	,0.0	,0.0	,58.9	,58.9	,1	,	,	,220536989085	,"S011黑+J06灰,3XL 建议150-180斤",797119967731	,	,无售后或售后取消,	,	,2021-04-11 16:12:02,否,	,	,	
国潮2021新款加肥加大码宽松胖子男装t恤白色体恤男生学生运动t恤,210411-185980683391006,待发货,38.8	,0.0	,0.0	,38.8	,38.8	,1	,	,	,219894535890	,"恶魔笑脸黑+W13黑,10XL 建议320-350斤",795744952210	,	,无售后或售后取消,	,	,2021-04-11 16:09:26,否,	,	,	
夏季加肥加大码男装国潮新款时尚印花潮流学生上衣五分袖透气t恤,210411-050587239481838,待发货,38.8	,0.0	,0.0	,38.8	,38.8	,1	,	,	,219896665455	,"火焰熊黑+火焰熊白,7XL 建议250-270斤",795750293589	,	,无售后或售后取消,	,	,2021-04-11 16:08:05,否,	,	,	
夏季加肥加大码男装国潮新款时尚印花潮流学生上衣五分袖透气t恤,210411-045720536040771,待发货,38.8	,0.0	,0.0	,38.8	,38.8	,1	,	,	,219896665455	,"火焰熊白+时来运转黑,XL 建议115-130斤",795750293619	,	,无售后或售后取消,	,	,2021-04-11 15:59:57,否,	,	,	
夏季短袖T恤男卡通印花潮牌宽松大码半袖体恤韩版加肥加大短袖男,210411-485857690841928,待发货,35.9	,0.0	,0.0	,35.9	,35.9	,1	,	,	,150374761515	,"【两件装】自由搭配，联系客服,L",624949376176	,一件百世可爱的白色衣服加一件白色的火眼眼睛的 [pdd55559146481 04/11 16:02],无售后或售后取消,	,	,2021-04-11 16:00:05,否,	,	,	
